No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	11	100nF	C3,C10,C11,C13,C14,C15,C16,C17,C20,C21,C22	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
2	2	10uF	C4,C7	C1206	10uF	CL31A106KBHNNNE	SAMSUNG(三星)	C13585	LCSC
3	2	10pF	C5,C6	C0603	10pF	CL10C100JB8NNNC	SAMSUNG(三星)	C1634	LCSC
4	1	4.7uF	C12	C0805	4.7uF	CL21A475KAQNNNE	SAMSUNG(三星)	C1779	LCSC
5	1	TF-015	CARD1	TF-SMD_TF-015		TF-015	SOFNG(硕方)	C113206	LCSC
6	2	KT-0603R	D1,D2	LED0603-RD		KT-0603R	KENTO	C2286	LCSC
7	1	KT-0603G	D3	LED0603-RD		KT-0603G	KENTO	C12624	LCSC
8	1	KT-0805Y	D4	LED0805-R-RD		KT-0805Y	KENTO	C2296	LCSC
9	2	Mechanical_MountingHole	H3,H4	MountingHole:MountingHole_2.2mm_M2	MountingHole				
10	1	WJ127-5.0-2P	J2	CONN-TH_2P-P5.00_CPC3703CTR		WJ127-5.0-2P	KANGNEX(康奈克斯电气)	C3703	LCSC
11	2	PZ254V-11-04P	J3,J4	HDR-TH_4P-P2.54-V-M		PZ254V-11-04P	XFCN(兴飞)	C2691448	LCSC
12	4	PZ254V-11-03P	M1,M2,M3,M4	HDR-TH_3P-P2.54-V-M		PZ254V-11-03P	XFCN(兴飞)	C2937625	LCSC
13	1	MSK12C02-HB	MSK12C02-HB1	SW-TH_MSK12C02-HB-1		MSK12C02-HB	SHOU HAN(首韩)	C431541	LCSC
14	4	4.7kΩ	R1,R2,R3,R4	R0402	4.7kΩ	0402WGF4701TCE	UNI-ROYAL(厚声)	C25900	LCSC
15	1	10kΩ	R5	R0402	10kΩ	0402WGF1002TCE	UNI-ROYAL(厚声)	C25744	LCSC
16	1	1.5kΩ	R8	R0402	1.5kΩ	0402WGF1501TCE	UNI-ROYAL(厚声)	C25867	LCSC
17	7	47kΩ	R10,R11,R12,R13,R14,R15,R16	R0402	47kΩ	0402WGF4702TCE	UNI-ROYAL(厚声)	C25792	LCSC
18	3	100Ω	R24,R25,R26	R0805	100Ω	0805W8F1000T5E	UNI-ROYAL(厚声)	C17408	LCSC
19	1	STM32F446RCT6	U1	LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL		STM32F446RCT6	ST(意法半导体)	C915971	LCSC
20	1	BMP390L	U2	LGA-10_L2.0-W2.0-P0.50-TL_BMP390L		BMP390L	Bosch(博世)	C2684802	LCSC
21	1	BMI088	U3	LGA-16_L4.5-W3.0-P0.50-BL		BMI088	Bosch(博世)	C194919	LCSC
22	1	LD1117S33TR	U5	SOT-223_L6.5-W3.5-P2.30-LS7.0-BR		LD1117S33TR	ST(意法半导体)	C86781	LCSC
23	1	920-E52A2021S10100	USB1	MICRO-USB-SMD_5P-P0.65-H-F_C10418		920-E52A2021S10100	精拓金	C10418	LCSC
24	1	16MHz	Y1	CRYSTAL-SMD_4P-L3.2-W2.5-BL	16MHz	X322516MMB4SI	YXC(扬兴晶振)	C112972	LCSC
